Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2014-01-02,17.219690112290372,17.261524304035053,17.1062720875793,17.140668869018555,234684800
2014-01-03,17.132290061573354,17.15831932298447,16.74710233868081,16.76414680480957,392467600
2014-01-06,16.65476478474991,16.944505948893685,16.53545843130437,16.85556983947754,412610800
2014-01-07,16.867653950557305,16.91847457820977,16.669328056458426,16.735023498535156,317209200
2014-01-08,16.69690761853635,16.90608016083291,16.693190569616743,16.841005325317383,258529600
2014-01-09,16.944506767229026,16.94636694683437,16.589689092258308,16.625946044921875,279148800
2014-01-10,16.72850951240807,16.75856861047401,16.458290417874636,16.514999389648438,304976000
2014-01-13,16.421114099720132,16.811258668479656,16.42018400984373,16.60146713256836,378492800
2014-01-14,16.678624476324995,16.942336341995592,16.661270525655244,16.931800842285156,332561600
2014-01-15,17.15274856461775,17.359751441329422,17.095109484108363,17.271743774414062,391638800
2014-01-16,17.19551564554863,17.255943350016796,17.095731239632833,17.175373077392578,229278000
2014-01-17,17.08953528088891,17.107817669630506,16.730687753666196,16.754549026489258,426739600
2014-01-21,16.764457221114302,17.04583242734003,16.74679379775546,17.01484489440918,328526800
2014-01-22,17.07186630764538,17.26957156834625,16.975802290948497,17.0904598236084,379985200
2014-01-23,17.041810356874198,17.24509453745605,16.882839489646738,17.235177993774414,403239200
2014-01-24,17.167625713855205,17.217827398547193,16.88098260078005,16.92188835144043,429354800
2014-01-27,17.04583421422656,17.192409364663717,16.91196421841704,17.059158325195312,554878800
2014-01-28,15.765706105087656,15.959073766534907,15.558392061094757,15.695672988891602,1065523200
2014-01-29,15.616645558942263,15.722626108447061,15.451476896559338,15.517481803894043,502810000
2014-01-30,15.572947619850652,15.695663131455404,15.391975753235801,15.487419128417969,678501600
2014-01-31,15.344881029901815,15.54165790713428,15.29436987297284,15.512838363647461,464797200
2014-02-03,15.57512482852366,15.7337862149303,15.472553477666136,15.541656494140625,401464000
2014-02-04,15.675525371934027,15.787394301618665,15.57977082428885,15.766631126403809,376681200
2014-02-05,15.6975342703044,15.967753547530839,15.68792720196513,15.884394645690918,328344800
2014-02-06,15.90059667980199,16.00783593553221,15.830454052022352,15.976972579956055,257765200
2014-02-07,16.253490917049373,16.301810447241483,16.128795462674262,16.20049476623535,370280400
2014-02-10,16.168702647034443,16.584252739160274,16.14812817342481,16.49073028564453,345559200
2014-02-11,16.54123177733641,16.763813342631916,16.506627438779663,16.7080135345459,282256800
2014-02-12,16.738866938036068,16.82023079612989,16.62321175410159,16.706756591796875,308100800
2014-02-13,16.667474643232943,16.985138433426723,16.653135120869997,16.9720458984375,307398000
2014-02-14,16.91095009535258,17.020372031308483,16.87167247510622,16.95833396911621,272924400
2014-02-18,17.020992711936476,17.182784789391846,17.008834165510702,17.020681381225586,260251600
2014-02-19,16.982026085801955,17.048739101248124,16.657817579328203,16.751962661743164,313768000
2014-02-20,16.615419464986946,16.740427907960093,16.49103534833448,16.558059692382812,305858000
2014-02-21,16.60919124872597,16.664681394568145,16.35387664250092,16.3741397857666,278784800
2014-02-24,16.30867332259754,16.51972065059854,16.285916205676894,16.445837020874023,288909600
2014-02-25,16.50288442124006,16.508806365166773,16.241646280832928,16.274690628051758,231952000
2014-02-26,16.323012403072763,16.366343990295604,16.0733084503302,16.12786293029785,276217200
2014-02-27,16.12131857023956,16.484183820985873,16.08733855717381,16.449581146240234,301882000
2014-02-28,16.493535428777058,16.607945350477834,16.276564470892744,16.40500259399414,371968800
2014-03-03,16.317085452065722,16.542473923475008,16.29806930391544,16.452381134033203,238781200
2014-03-04,16.55338704676961,16.60451188765185,16.45269401884859,16.560867309570312,259140000
2014-03-05,16.550889527399754,16.67028401919585,16.495086412582264,16.595779418945312,200062800
2014-03-06,16.609182242388695,16.66062006465972,16.462976692278744,16.54558753967285,185488800
2014-03-07,16.55619377317423,16.583938841116257,16.399076608348242,16.535930633544922,220729600
2014-03-10,16.471086318359603,16.626020813407308,16.470461991996867,16.550891876220703,178584000
2014-03-11,16.6921126910727,16.7946737157799,16.602953874843873,16.71206283569336,279224400
2014-03-12,16.662807115383572,16.75133992863494,16.584559871462307,16.728271484375,199326400
2014-03-13,16.754134772019416,16.823340054702403,16.49601345208172,16.542463302612305,257742800
2014-03-14,16.484492023585087,16.54995806083201,16.30399508985524,16.356679916381836,237199200
2014-03-17,16.450503789438944,16.521267402018808,16.392831045617676,16.420576095581055,199544800
2014-03-18,16.394396460783764,16.583622278599712,16.37257500700036,16.565853118896484,209647200
2014-03-19,16.59266188815154,16.71673299327334,16.491033230288195,16.561487197875977,224756000
2014-03-20,16.51878228016755,16.605447107641115,16.439601045038494,16.481685638427734,208398400
2014-03-21,16.582379503913682,16.63911663006193,16.407806164422293,16.611682891845703,374046400
2014-03-24,16.784694556633408,16.84953625360558,16.679949252373664,16.808698654174805,355700800
2014-03-25,16.880715527061216,17.013204263123743,16.8211714306881,16.989511489868164,282293200
2014-03-26,17.037200633931153,17.114512194065732,16.798408354711942,16.82708740234375,299768000
2014-03-27,16.83457392852901,16.880712478642117,16.68182208019511,16.75476837158203,222031600
2014-03-28,16.7815734007292,16.800900874786905,16.654695334533695,16.736059188842773,200564000
2014-03-31,16.809947513827613,16.85920270212311,16.707071847268363,16.732324600219727,168669200
2014-04-01,16.764123721614673,16.892250502455667,16.733262014258166,16.885391235351562,200760000
2014-04-02,16.908143329969313,16.942434660692,16.842054644026323,16.913442611694336,180420800
2014-04-03,16.87728669412841,16.91188936595044,16.760384470912122,16.796234130859375,162344000
2014-04-04,16.828026383869815,16.83394832701277,16.540290204642744,16.57894515991211,275251200
2014-04-07,16.46047974826366,16.55026117438066,16.2693843438997,16.31863784790039,289850400
2014-04-08,16.37226917638278,16.401261235880852,16.169949086433082,16.31771469116211,243888400
2014-04-09,16.292771722290233,16.537487698129297,16.273444241383523,16.532188415527344,206169600
2014-04-10,16.543403652028847,16.592036164763577,16.3092879910357,16.318952560424805,239652000
2014-04-11,16.17929113715597,16.29868893860757,16.121308717177797,16.19830894470215,271717600
2014-04-14,16.26970359450688,16.277808183953603,16.1234979995947,16.262845993041992,205674000
2014-04-15,16.218881930525473,16.261589166348735,15.94018608371655,16.146869659423828,266490000
2014-04-16,16.149681589907594,16.244451002899066,16.027791439470256,16.179609298706055,214765600
2014-04-17,16.210474470573224,16.45238517387861,16.185534707901326,16.364473342895508,284334400
2014-04-21,16.376939734514266,16.58892267744251,16.333919485507646,16.558685302734375,182548800
2014-04-22,16.46952578802725,16.579259050768997,16.413101670541845,16.575206756591797,202563200
2014-04-23,16.492903388143954,16.55743374383892,16.34919015713401,16.358543395996094,394940000
2014-04-24,17.713366675204053,17.769168124959094,17.48018497479259,17.699649810791016,759911600
2014-04-25,17.598642567035,17.831199902759398,17.58087507670425,17.82964324951172,390275200
2014-04-28,17.856451769152173,18.571894561197993,17.84865684920877,18.520145416259766,669485600
2014-04-29,18.509236428801298,18.579066068390496,18.377370405778084,18.465280532836914,337377600
2014-04-30,18.474946715879238,18.68661829761012,18.386412254865512,18.39545249938965,456640800
2014-05-01,18.45500045497257,18.54228795451057,18.27918013270417,18.438791275024414,244048000
2014-05-02,18.465589885521183,18.52357396409988,18.38360171698763,18.47307014465332,191514400
2014-05-05,18.397012943440444,18.735562617433608,18.3926476539863,18.73431396484375,287067200
2014-05-06,18.760503248167925,18.84186712681431,18.530128479003906,18.530128479003906,374564400
2014-05-07,18.556308961279782,18.619903662970845,18.32188029091963,18.465280532836914,282864400
2014-05-08,18.440513362847263,18.633618665149687,18.38252016275228,18.432363510131836,230297200
2014-05-09,18.324219113411964,18.37782433779102,18.192242679325158,18.355567932128906,291597600
2014-05-12,18.41669460793495,18.610111354580237,18.413871958970663,18.58409309387207,213208800
2014-05-13,18.55807467323587,18.637698158227053,18.517323721844566,18.61324691772461,159737200
2014-05-14,18.571554781870745,18.727354635035386,18.54992451674478,18.616695404052734,166404000
2014-05-15,18.642709288083648,18.70226950962307,18.433930420664748,18.45838165283203,230846000
2014-05-16,18.452431956543712,18.731430582647118,18.35117820220535,18.730804443359375,276256400
2014-05-19,18.741462398079307,19.038642504964137,18.725161012229925,18.952749252319336,317755200
2014-05-20,18.950240780222472,19.009487953538244,18.83174475942175,18.956510543823242,234836000
2014-05-21,18.928928490883997,19.01889669208119,18.87344316134535,19.006671905517578,196859600
2014-05-22,19.015761688075976,19.117643275152226,18.937392137954763,19.03676414489746,200760000
2014-05-23,19.036129557127765,19.270613638189076,19.011678321914996,19.25180435180664,232209600
2014-05-27,19.306669503848607,19.61952319729944,19.29883271730044,19.612314224243164,348866000
2014-05-28,19.624542020128473,19.743978951324767,19.554322325911034,19.561532974243164,315481600
2014-05-29,19.681908013956935,19.96466854160989,19.679400108083353,19.917959213256836,376474000
2014-05-30,19.999460473370117,20.193505047498213,19.71481991042042,19.843347549438477,564020800
2014-06-02,19.873437088850423,19.90070929682737,19.514187274453555,19.70697784423828,369350800
2014-06-03,19.701027602495824,20.023286765177563,19.69444476904734,19.985668182373047,292709200
2014-06-04,19.982532137441392,20.310120148022126,19.94083863088193,20.21388053894043,335482000
2014-06-05,20.257142025466624,20.356515683748558,20.144602700983075,20.29319190979004,303805600
2014-06-06,20.373126875506134,20.41576126027132,20.20290742853309,20.237388610839844,349938400
2014-06-09,20.341789108180716,20.600724579007935,20.133324834062698,20.56122589111328,301660000
2014-06-10,20.787232248526806,20.857451901646684,20.53268495961188,20.681901931762695,251108000
2014-06-11,20.655575907542865,20.793822099604487,20.51074855653682,20.596328735351562,182724000
