,Close,High,Low,Open,Volume,daily_return,ma_10,ma_50,ma_spread,volatility_10,rsi_14,volume_change,price_position,target,lr_pred,rf_pred,lr_proba,rf_proba,signal,strategy_return,buyhold_return,strategy_cumulative,buyhold_cumulative
2022-01-13,172.00737775161056,172.82934594142114,168.10300645305696,168.4944305419922,84505800,-0.0019304683699489,171.93398266596233,162.74981734112595,0.0564311866819871,0.0206882585979554,49.89405374854379,0.129678150716795,0.5226483407025291,0,1,1,0.5412782288652289,0.5047134029134291,0,-0.0,-0.0019304683699489,1.0,0.9980695316300511
2022-01-14,167.66264878484014,170.0502832024392,167.4180143556812,169.35552978515625,80440800,-0.0252589686765906,171.27346896515024,163.16411370782717,0.0497006055623495,0.0219441994292148,42.06460667737484,-0.0481032071171446,0.2132390089712423,1,1,1,0.5925670753288836,0.5824070709571506,0,-0.0,-0.0252589686765906,1.0,0.9728593245935482
2022-01-18,167.82902257608225,168.83691537487223,165.77410203397278,166.15573120117188,90956700,0.0009923127926698,170.65503399577673,163.5584822442919,0.0433884666457431,0.0219849173374191,37.0236660145908,0.1307284363158993,0.2250872977734979,0,1,1,0.5060575259378826,0.5253291258198076,0,0.0,0.0009923127926698,1.0,0.9738247053468105
2022-01-19,166.35143003303915,167.40825267441707,162.37856885772902,162.66233825683594,94815000,-0.0088041538964052,169.4191415409503,163.9129089152753,0.0335924282115029,0.0192292538286022,36.28345203188003,0.04241908512512,0.0678965750796565,0,1,1,0.5244968612569761,0.5314239868488613,0,-0.0,-0.0088041538964052,1.0,0.9652510027728157
2022-01-20,163.3962376065405,166.03828667936338,160.65632878123083,160.979248046875,91420500,-0.0177647551686914,168.18324600949774,164.21762607635,0.0241485644866403,0.0193009400065755,33.07131059962343,-0.0358012972630913,0.0,0,1,1,0.5534149677349715,0.6403220548629258,1,-0.01687651741025683,-0.0177647551686914,0.9831234825897431,0.9481035550322229
2022-01-21,160.89118731707072,162.76019814543096,158.81669190708894,158.92433166503906,122848900,-0.0153311381349059,167.37301717386123,164.4959228447849,0.0174903686323648,0.0162703898625771,32.04624529305681,0.3437784741934249,0.0,0,1,0,0.5122114638539165,0.4563878505821586,0,-0.0,-0.0153311381349059,0.9831234825897431,0.9335680484638285
2022-01-24,156.58562410189697,158.81668910799385,151.37979580013618,158.15127563476562,162294600,-0.0267607150333766,166.11364092274397,164.69162999753453,0.008634384912158,0.0174908694408595,28.90311402514807,0.3210911941417464,0.0,0,1,1,0.552047631339109,0.5175076329064718,0,-0.0,-0.0267607150333766,0.9831234825897431,0.9085850999546224
2022-01-25,155.56796617871674,159.26683860327665,153.650040071103,156.35079956054688,115798400,-0.0064990507846236,165.12531980983627,164.8877296651,0.0014409207114369,0.0167365975588561,19.24579348431938,-0.2864925881699083,0.0,1,1,1,0.5602749546316528,0.6257691091447103,1,-0.006174098245392419,-0.0064990507846236,0.9770535816208817,0.902680159247865
2022-01-26,159.99090611922438,160.86180403234616,154.4328194222898,156.26268005371094,108275300,0.0284309170399936,164.2622475283937,165.18266063189708,-0.0055720927365039,0.0184542544872011,29.837213996474546,-0.0649672188907618,0.1911185597426591,0,0,0,0.4530136559971404,0.4759577774769438,0,0.0,0.0284309170399936,0.9770535816208817,0.9283441839690894
2022-01-27,158.96346843901696,160.32363543352318,154.88296745549837,155.80279541015625,121954600,-0.0064218504984387,162.92458689080385,165.4190749013322,-0.015079808734369,0.0158085511978381,34.96622761098769,0.1263381399081784,0.1467222052120022,1,1,1,0.5283628129493837,0.5557201547714576,1,-0.006100757973516765,-0.0064218504984387,0.9710928141922551,0.9223824964085447
2022-01-28,162.15347733104576,166.69389133962514,159.3059292425837,166.67431640625,179935700,0.0200675596937707,161.93919684874737,165.72770507655565,-0.0228598364169601,0.0181011997032206,40.33903285930936,0.4754318410293667,0.2845648875028331,1,0,0,0.4315798523207677,0.4932421632745706,0,0.0,0.0200675596937707,0.9710928141922551,0.9408924622157124
2022-01-31,166.5079991576081,171.24411862639118,165.87194061535732,171.02883911132812,115541600,0.0268543228195614,161.82373188602415,166.10268124394497,-0.0257608686739775,0.0193165971535343,51.428575394203214,-0.3578728401312246,0.4727270491090908,1,1,1,0.5063172041517173,0.509968490649129,0,0.0,0.0268543228195614,0.9710928141922551,0.9661594921345452
