Date,Close,High,Low,Open,Volume,daily_return,ma_10,ma_50,ma_spread,volatility_10,rsi_14,volume_change,price_position,target
2014-03-14,16.484492023585087,16.54995806083201,16.30399508985524,16.356679916381836,237199200,-0.01609410167122749,16.56513709622184,16.53863115580291,0.0016026683326587515,0.009692017702251273,54.04937943249916,-0.07970581525458709,0.4036722147649258,0
2014-03-17,16.450503789438944,16.521267402018808,16.392831045617676,16.420576095581055,199544800,-0.0020618308466839874,16.57847892995916,16.523247429345883,0.003342654090816605,0.008993680781686867,48.69745997563059,-0.15874589796255634,0.36589383193618685,0
2014-03-18,16.394396460783764,16.583622278599712,16.37257500700036,16.565853118896484,209647200,-0.0034106754038256692,16.562579871360576,16.50848955733009,0.0032765150223248883,0.0076617825601767,51.89152325888508,0.05062722756994931,0.31727141404797915,1
2014-03-19,16.59266188815154,16.71673299327334,16.491033230288195,16.561487197875977,224756000,0.012093487420658411,16.566757107435755,16.507247499398122,0.0036050594164655707,0.00870848032087501,62.51231299443919,0.07206774047065734,0.7448344662893928,0
2014-03-20,16.51878228016755,16.605447107641115,16.439601045038494,16.481685638427734,208398400,-0.004452547064600076,16.55771711121364,16.500270065990325,0.003481582119175366,0.008744300085945554,50.796339864795044,-0.0727793696275072,0.6280871267361441,1
2014-03-21,16.582379503913682,16.63911663006193,16.407806164422293,16.611682891845703,374046400,0.0038499946707626354,16.560335684287587,16.497979503697874,0.0037796252914326076,0.008787940518439803,59.00933979174172,0.7948621486537324,0.7285858553831969,1
2014-03-24,16.784694556633408,16.84953625360558,16.679949252373664,16.808698654174805,355700800,0.012200604423024952,16.591696508114968,16.494783259485963,0.005875387818343753,0.009313802306148634,58.04077224079569,-0.049046321525885506,1.0,1
2014-03-25,16.880715527061216,17.013204263123743,16.8211714306881,16.989511489868164,282293200,0.005720745772514579,16.61055679171382,16.497827379779025,0.006832985297989196,0.008544783475506162,60.76550592386893,-0.20637457098775147,1.0,1
2014-03-26,17.037200633931153,17.114512194065732,16.798408354711942,16.82708740234375,299768000,0.009270051771151477,16.647996143568577,16.510149110463246,0.008349230051348883,0.008833643133798343,63.12893755562285,0.06190301431277834,1.0,0
2014-03-27,16.83457392852901,16.880712478642117,16.68182208019511,16.75476837158203,222031600,-0.011893192417925302,16.656040059219535,16.51326809950732,0.008645893644545934,0.009786839867767046,57.821005355543036,-0.25932187558378483,0.7186190341422247,0
2014-03-28,16.7815734007292,16.800900874786905,16.654695334533695,16.736059188842773,200564000,-0.003148314179190037,16.685748196933947,16.505844596229554,0.010899387768711207,0.00804605198995818,58.88330048845253,-0.09668713822717123,0.6450189641332656,1
